CVE,Description,Chains,Weakness_Description,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT,missing,extra
CVE-2021-30289,"Possible buffer overflow due to lack of range check while processing a DIAG command for COEX management in Snapdragon Auto, Snapdragon Compute, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables",CWE-20->CWE-119,possible buffer overflow due to lack of range check,lack of range check,buffer overflow,,,,Snapdragon,,DIAG command for COEX management,,nan
CVE-2021-30311,"Possible heap overflow due to lack of index validation before allocating and writing to heap buffer in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Mobile",CWE-129->CWE-122,due to lack of index validation before allocating and writing to heap buffer,lack of index validation before allocating and writing to heap buffer,heap overflow,,,,Snapdragon,,,,"nan, overflow"
CVE-2021-30349,"Improper access control sequence for AC database after memory allocation can lead to possible memory corruption in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",CWE-284->CWE-787,Improper access control sequence,Improper access control sequence,memory corruption,,,,Snapdragon,,AC database,,"nan, corruption, memory"
CVE-2021-30350,"Lack of MBN header size verification against input buffer can lead to memory corruption in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wearables",CWE-1284->CWE-787,Lack of header size verification against input buffer,Lack of header size verification against input buffer,memory corruption,,,,Snapdragon,,MBN header,,"nan, corruption, memory"
CVE-2021-30982,"A race condition was addressed with improved locking. This issue is fixed in macOS Monterey 12.1, Security Update 2021-008 Catalina, macOS Big Sur 11.6.2. A remote attacker may be able to cause unexpected application termination or heap corruption.",,a race condition was addressed,,race condition,unexpected application termination or heap corruption,,remote attacker,macOS,"macOS Monterey 12.1, Security Update 2021-008 Catalina, macOS Big Sur 11.6.2",,,"termination, unexpected, heap, corruption, nan, application, or"
CVE-2021-31578,"In Boa, there is a possible escalation of privilege due to a stack buffer overflow. This could lead to remote escalation of privilege from a proximal attacker with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: A20210008; Issue ID: OSBNB00123241.",,due to a stack buffer overflow,,stack buffer overflow,remote escalation of privilege,,proximal attacker,Boa,,,,"of, nan, escalation, privilege, remote"
CVE-2021-31884,"A vulnerability has been identified in APOGEE MBC (PPC) (BACnet) (All versions), APOGEE MBC (PPC) (P2 Ethernet) (All versions), APOGEE MEC (PPC) (BACnet) (All versions), APOGEE MEC (PPC) (P2 Ethernet) (All versions), APOGEE PXC Compact (BACnet) (All versions < V3.5.4), APOGEE PXC Compact (P2 Ethernet) (All versions < V2.8.19), APOGEE PXC Modular (BACnet) (All versions < V3.5.4), APOGEE PXC Modular (P2 Ethernet) (All versions < V2.8.19), Capital VSTAR (All versions with enabled Ethernet options), Desigo PXC00-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC00-U (All versions >= V2.3 and < V6.30.016), Desigo PXC001-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC100-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC12-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC128-U (All versions >= V2.3 and < V6.30.016), Desigo PXC200-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC22-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC22.1-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC36.1-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC50-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC64-U (All versions >= V2.3 and < V6.30.016), Desigo PXM20-E (All versions >= V2.3 and < V6.30.016), Nucleus NET (All versions), Nucleus ReadyStart V3 (All versions < V2017.02.4), Nucleus Source Code (All versions), TALON TC Compact (BACnet) (All versions < V3.5.4), TALON TC Modular (BACnet) (All versions < V3.5.4). The DHCP client application assumes that the data supplied with the “Hostname” DHCP option is NULL terminated. In cases when global hostname variable is not defined, this may lead to Out-of-bound reads, writes, and Denial-of-service conditions. (FSMD-2021-0014)",CWE-170->CWE-119,The DHCP client application assumes that the data ... is NULL terminated,assumes that the data supplied with the Hostname DHCP option is NULL terminated,"Out-of-bound reads, writes",Denial-of-service,,,DHCP client application,,,,"service, option, of, out, reads, bound, hostname, with, denial, supplied, writes"
CVE-2021-32040,"It may be possible to have an extremely long aggregation pipeline in conjunction with a specific stage/operator and cause a stack overflow due to the size of the stack frames used by that stage. If an attacker could cause such an aggregation to occur, they could maliciously crash MongoDB in a DoS attack. This vulnerability affects MongoDB Server v4.4 versions prior to and including 4.4.28, MongoDB Server v5.0 versions prior to 5.0.4 and MongoDB Server v4.2 versions prior to 4.2.16. Workaround: >= v4.2.16 users and all v4.4 users can add the --setParameter internalPipelineLengthLimit=50 instead of the default 1000 to mongod at startup to prevent a crash. ",CWE-20->CWE-121,stack overflow due to the size of the stack frames,size of the stack frames,stack overflow,crash MongoDB,extremely long aggregation pipeline,,MongoDB Server,"v4.4 prior to and including 4.4.28, v5.0 prior to 5.0.4, v4.2 prior to 4.2.16",aggregation pipeline,,"mongodb, crash"
CVE-2021-32435,Stack-based buffer overflow in the function get_key in parse.c of abcm2ps v8.14.11 allows remote attackers to cause a Denial of Service (DoS) via unspecified vectors.,,Stack-based buffer overflow,,Stack-based buffer overflow,Denial of Service (DoS),unspecified vectors,remote attackers,abcm2ps,v8.14.11,function get_key in parse.c,,"service, dos, of, nan, denial"
CVE-2021-32845,"HyperKit is a toolkit for embedding hypervisor capabilities in an application. In versions 0.20210107 and prior of HyperKit, the implementation of `qnotify` at `pci_vtrnd_notify` fails to check the return value of `vq_getchain`. This leads to `struct iovec iov;` being uninitialized and used to read memory in `len = (int) read(sc->vrsc_fd, iov.iov_base, iov.iov_len);` when an attacker is able to make `vq_getchain` fail. This issue may lead to a guest crashing the host causing a denial of service and, under certain circumstance, memory corruption. This issue is fixed in commit 41272a980197917df8e58ff90642d14dec8fe948.",CWE-252->CWE-908->CWE-787,Fails to check the return value,Fails to check the return value,uninitialized memory use,guest crashing the host | denial of service | memory corruption,,,HyperKit,0.20210107 and prior,qnotify at pci_vtrnd_notify,,"crashing, service, use, uninitialized, memory, of, host, corruption, guest, denial"
CVE-2021-32846,"HyperKit is a toolkit for embedding hypervisor capabilities in an application. In versions 0.20210107, function `pci_vtsock_proc_tx` in `virtio-sock` can lead to to uninitialized memory use. In this situation, there is a check for the return value to be less or equal to `VTSOCK_MAXSEGS`, but that check is not sufficient because the function can return `-1` if it finds an error it cannot recover from. Moreover, the negative return value will be used by `iovec_pull` in a while condition that can further lead to more corruption because the function is not designed to handle a negative `iov_len`. This issue may lead to a guest crashing the host causing a denial of service and, under certain circumstance, memory corruption. This issue is fixed in commit af5eba2360a7351c08dfd9767d9be863a50ebaba.",,because the function can return -1 if it finds an error it cannot recover from,function can return -1 if it finds an error it cannot recover from,uninitialized memory use,potentially corrupt control data in memory | execute arbitrary code,,,HyperKit,0.20210107,function pci_vtsock_proc_tx in virtio-sock,,"control, execute, potentially, use, corrupt, uninitialized, memory, arbitrary, data, in, code"
CVE-2021-32941,"Annke N48PBB (Network Video Recorder) products of version 3.4.106 build 200422 and prior are vulnerable to a stack-based buffer overflow, which allows an unauthorized remote attacker to execute arbitrary code with the same privileges as the server user (root).",,stack-based buffer overflow,,stack-based buffer overflow,execute arbitrary code with the same privileges as the server user (root),,unauthorized remote attacker,Annke N48PBB (Network Video Recorder),3.4.106 build 200422 and prior,,,"execute, arbitrary, server, privileges, same, nan, with, user, root, as, code, the"
CVE-2021-33019,"A stack-based buffer overflow vulnerability in Delta Electronics DOPSoft Version 4.00.11 and prior may be exploited by processing a specially crafted project file, which may allow an attacker to execute arbitrary code.",,stack-based buffer overflow,,stack-based buffer overflow,execute arbitrary code,processing a specially crafted project file,,Delta Electronics DOPSoft,4.00.11 and prior,,,"nan, execute, arbitrary, code"
CVE-2021-33438,"An issue was discovered in mjs (mJS: Restricted JavaScript engine), ES6 (JavaScript version 6). There is stack buffer overflow in json_parse_array() in mjs.c.",,stack buffer overflow,,stack buffer overflow,,,,mjs (mJS: Restricted JavaScript engine),,json_parse_array() in mjs.c,,nan
CVE-2021-33443,"An issue was discovered in mjs (mJS: Restricted JavaScript engine), ES6 (JavaScript version 6). There is stack buffer overflow in mjs_execute() in mjs.c.",,stack buffer overflow,,stack buffer overflow,,,,mjs (mJS: Restricted JavaScript engine),,mjs_execute() in mjs.c,,nan
CVE-2021-33448,"An issue was discovered in mjs(mJS: Restricted JavaScript engine), ES6 (JavaScript version 6). There is stack buffer overflow at 0x7fffe9049390.",,stack buffer overflow,,stack buffer overflow,,,,mjs (mJS: Restricted JavaScript engine),,,,nan
CVE-2021-33545,"Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to a stack-based buffer overflow condition in the counter parameter which may allow an attacker to remotely execute arbitrary code.",,stack-based buffer overflow,,stack-based buffer overflow,remotely execute arbitrary code,,,"Multiple camera devices by UDP Technology, Geutebrück and other vendors",,counter parameter,,"execute, nan, code, remotely, arbitrary"
CVE-2021-33657,"There is a heap overflow problem in video/SDL_pixels.c in SDL (Simple DirectMedia Layer) 2.x to 2.0.18 versions. By crafting a malicious .BMP file, an attacker can cause the application using this library to crash, denial of service or Code execution.",,heap overflow problem,,heap overflow,crash | denial of service | Code execution,crafting a malicious .BMP file,,SDL (Simple DirectMedia Layer),2.x to 2.0.18,video/SDL_pixels.c,,"service, of, execution, nan, denial, code, crash"
